year,school_id,cipcode,major_number,total,instnm
2005,144050,16.1103,2,0,University of Chicago
2005,144050,16.1199,1,7,University of Chicago
2005,144050,16.1199,2,1,University of Chicago
2005,144050,16.1200,1,7,University of Chicago
2005,144050,16.1200,2,1,University of Chicago
2005,144050,16.1299,1,2,University of Chicago
2005,144050,16.1299,2,0,University of Chicago
2005,144050,23.0101,1,71,University of Chicago
2005,144050,23.0101,2,6,University of Chicago
2005,144050,24.0101,1,4,University of Chicago
2005,144050,24.0101,2,2,University of Chicago
2005,144050,24.0103,1,24,University of Chicago
2005,144050,24.0103,2,0,University of Chicago
2005,144050,26.0101,1,117,University of Chicago
2005,144050,26.0101,2,20,University of Chicago
2005,144050,27.0101,1,52,University of Chicago
2005,144050,27.0101,2,24,University of Chicago
2005,144050,27.0501,1,5,University of Chicago
2005,144050,27.0501,2,9,University of Chicago
2005,144050,30.1301,1,2,University of Chicago
2005,144050,30.1301,2,3,University of Chicago
2005,144050,38.0101,1,25,University of Chicago
2005,144050,38.0101,2,6,University of Chicago
2005,144050,38.0206,1,0,University of Chicago
2005,144050,38.0206,2,0,University of Chicago
2005,144050,39.0601,1,7,University of Chicago
2005,144050,39.0601,2,2,University of Chicago
2005,144050,40.0501,1,15,University of Chicago
2005,144050,40.0501,2,12,University of Chicago
2005,144050,40.0599,1,10,University of Chicago
2005,144050,40.0599,2,1,University of Chicago
2005,144050,40.0603,1,5,University of Chicago
2005,144050,40.0603,2,0,University of Chicago
2005,144050,40.0801,1,24,University of Chicago
2005,144050,40.0801,2,5,University of Chicago
2005,144050,42.0101,1,44,University of Chicago
2005,144050,42.0101,2,6,University of Chicago
2005,144050,42.0601,1,31,University of Chicago
2005,144050,42.0601,2,2,University of Chicago
2005,144050,44.0501,1,20,University of Chicago
2005,144050,44.0501,2,9,University of Chicago
2005,144050,45.0201,1,32,University of Chicago
2005,144050,45.0201,2,2,University of Chicago
2005,144050,45.0601,1,216,University of Chicago
2005,144050,45.0601,2,25,University of Chicago
2005,144050,45.0701,1,6,University of Chicago
2005,144050,45.0701,2,2,University of Chicago
2005,144050,45.0901,1,38,University of Chicago
2005,144050,45.0901,2,6,University of Chicago
2005,144050,45.1001,1,89,University of Chicago
2005,144050,45.1001,2,27,University of Chicago
2005,144050,45.1101,1,27,University of Chicago
2005,144050,45.1101,2,1,University of Chicago
2005,144050,45.9999,1,23,University of Chicago
2005,144050,45.9999,2,3,University of Chicago
2005,144050,50.0601,1,10,University of Chicago
2005,144050,50.0601,2,1,University of Chicago
2005,144050,50.0703,1,11,University of Chicago
2005,144050,50.0703,2,0,University of Chicago
2005,144050,50.0901,1,2,University of Chicago
2005,144050,50.0901,2,1,University of Chicago
2005,144050,50.9999,1,5,University of Chicago
2005,144050,50.9999,2,5,University of Chicago
2005,144050,54.0101,1,63,University of Chicago
2005,144050,54.0101,2,3,University of Chicago
2005,144050,54.0104,1,14,University of Chicago
2005,144050,54.0104,2,0,University of Chicago
2005,166027,03.0103,1,24,Harvard University
2005,166027,05.0104,1,14,Harvard University
2005,166027,05.0104,2,3,Harvard University
